No.of Days,Sun_PosX,Sun_PosY,Sun_PosZ,SunVecX,SunVecY,SunVecZ,SunVec_Mag,X_azi,Y_azi,Z_azi,nX_azi,nY_azi,nZ_azi,X_ele
118,-65306167800.6,123486585195,53532145876.2,-0.467501421451,0.883992319503,0.383215800538,139691913928,0,-27.8722302485,0,0,0,0,20.9676218225
119,-67603023434.2,122441647620,53079158515.5,-0.483345950157,0.875429433173,0.379503648614,139864674753,0,-28.9041602922,0,0,0,0,20.7819364814
120,-69879181135.9,121361159081,52610759623.4,-0.49898897868,0.866608330883,0.375679738337,140041528197,0,-29.9331338795,0,0,0,0,20.590182146
121,-72133941711.6,120245503763,52127115746.2,-0.514425703424,0.857534953023,0.371746276167,140222280041,0,-30.959075927,0,-59.040924073,0,0,20.3924298584
122,-74366616844.6,119095078216,51628398792.3,-0.529651597693,0.84821529405,0.367706228344,140406660952,0,-31.9819177104,0,-58.0180822896,0,0,20.1887894482
123,-76576529432.6,117910290997,51114785874.2,-0.544662532912,0.838655307765,0.363561848682,140594460427,0,-33.0016053294,0,-56.9983946706,0,0,19.9793356544
124,-78763013905.8,116691562290,50586459144.2,-0.559454322197,0.828861183417,0.359316071954,140785413084,0,-34.0180688833,0,-55.9819311167,0,0,19.7641784714
125,-80925416525.9,115439323516,50043605627.2,-0.574023471641,0.818838844954,0.354971317112,140979292013,0,-35.0312739648,0,-54.9687260352,0,0,19.5434028357
126,-83063095664.6,114154016943,49486417049,-0.588366189389,0.808594600021,0.350530348806,141175838365,0,-36.0411535655,0,-53.9588464345,0,0,19.3171123412
127,-85175422063.1,112836095279,48915089662,-0.602479514489,0.798134346223,0.345995816074,141374809535,0,-37.047686956,0,-52.952313044,0,0,19.0854059878
128,-87261779070.3,111486021263,48329824067.5,-0.616360137782,0.787464399547,0.341370250992,141575956475,0,-38.0508169327,0,-51.9491830673,0,0,18.8483781369
129,-89321562861.2,110104267253,47730825035.7,-0.630005511452,0.776590661507,0.336656510587,141779020017,0,-39.0505291623,0,-50.9494708377,0,0,18.6061412702
130,-91354182633.3,108691314804,47118301323.5,-0.643412880304,0.765519343622,0.3318569266,141983765458,0,-40.0467827272,0,-49.9532172728,0,0,18.3587824448
131,-93359060783.3,107247654241,46492465491.3,-0.656580020444,0.75425637336,0.326974455214,142189916032,0,-41.0395643257,0,-48.9604356743,0,0,18.106422508
132,-95335633062,105773784239,45853533717.7,-0.669504747508,0.742807776659,0.322011335828,142397253981,0,-42.0288524793,0,-47.9711475207,0,0,17.849147027
133,-97283348708.2,104270211391,45201725614.4,-0.682185127072,0.73117949397,0.316970464983,142605488008,0,-43.0146334611,0,-46.9853665389,0,0,17.5870773647
134,-99201670561.8,102737449781,44537264040.1,-0.694619503076,0.719377332105,0.311854122711,142814413604,0,-43.996904274,0,-46.003095726,0,0,17.3203047496
135,-101090075156,101176020555,43860374915.2,-0.706806240116,0.707407194572,0.306664997521,143023735363,0,-44.9756527897,0,-45.0243472103,0,0,17.0489435579
136,-102948052788,99586451492.1,43171287036.2,-0.718744133823,0.69527467241,0.301405504493,143233250802,0,-45.9508909074,0,-44.0491090926,0,0,16.7730958774
137,-104775107571,97969276585.1,42470231892,-0.730431869927,0.682985566022,0.296078046019,143442676742,0,-46.9226114589,0,-43.0773885411,0,0,16.492865095
138,-106570757462,96325035613.3,41757443480.6,-0.741868618528,0.67054526532,0.29068517914,143651798142,0,-47.8908374012,0,-42.1091625988,0,0,16.2083647842
139,-108334534277,94654273727.7,41033158128.7,-0.753053394311,0.657959410083,0.285229043725,143860359854,0,-48.8555691309,0,-41.1444308691,0,0,15.9196885777
140,-110065983677,92957541038.2,40297614312.7,-0.763985682233,0.645233196095,0.279712249088,144068124057,0,-49.8168380374,0,-40.1831619626,0,0,15.6269570059
141,-111764665142,91235392207,39551052482.2,-0.774664814162,0.632372062712,0.274136782517,144274871195,0,-50.7746533481,0,-39.2253466519,0,0,15.3302597317
142,-113430151925,89488386048.6,38793714887.1,-0.785090543398,0.619381012517,0.268505157729,144480341142,0,-51.7290531944,0,-38.2709468056,0,0,15.0297164876
143,-115062030983,87717085138.2,38025845407.3,-0.79526250075,0.606265251273,0.26281934847,144684345406,0,-52.6800565345,0,-37.3199434655,0,0,14.7254203532
144,-116659902899,85922055427.5,37247689386.6,-0.805180659546,0.593029599171,0.25708163577,144886613370,0,-53.627706205,0,-36.372293795,0,0,14.4174829069
145,-118223381780,84103865870.5,36459493470.3,-0.814844938257,0.579678985816,0.2512940757,145086973686,0,-54.572032621,0,-35.427967379,0,0,14.1060057925
146,-119752095139,82263088059,35661505447.1,-0.824255474111,0.566218079363,0.245458656018,145285162794,0,-55.5130802646,0,-34.4869197354,0,0,13.7910890319
147,-121245683767,80400295868.3,34853974095.6,-0.833412466925,0.552651481473,0.239577517285,145481010728,0,-56.4508934757,0,-33.5491065243,0,0,13.4728429667
148,-122703801581,78516065114.9,34037149036,-0.842316165359,0.538983745186,0.233652397435,145674276068,0,-57.3855152575,0,-32.6144847425,0,0,13.1513581986
149,-124126115468,76610973225.9,33211280586.5,-0.850967032055,0.525219106998,0.227685429166,145864780118,0,-58.3170054006,0,-31.6829945994,0,0,12.826748737
150,-125512305108,74685598920.5,32376619625.6,-0.859365398369,0.511362016663,0.221678221419,146052310655,0,-59.245404356,0,-30.754595644,0,0,12.4991021138
151,-126862062786,72740521905.1,31533417459.7,-0.867511942018,0.497416355236,0.215632762147,146236678642,0,0,0,-29.8292141424,0,0,12.1685284369
152,-128175093194,70776322581.7,30681925696.6,-0.875407082724,0.483386428768,0.209550662855,146417700170,0,0,0,-28.9068096012,0,0,11.8351191771
153,-129451113222,68793581770.5,29822396125.6,-0.883051636023,0.469275833724,0.203433658955,146595180149,0,0,0,-27.9872995991,0,0,11.4989744273
154,-130689851736,66792880446.8,28955080603,-0.89044613973,0.455088642178,0.197283435983,146768958434,0,0,0,-27.070637767,0,0,11.1601933839
155,-131891049350,64774799492.7,28080230944.9,-0.897591461051,0.440828276144,0.191101455765,146938839230,0,0,0,-26.1567403582,0,0,10.8188646836
156,-133054458189,62739919464.3,27198098825.8,-0.904488282718,0.426498471775,0.184889452338,147104682251,0,0,0,-25.2455487087,0,0,10.4750937131
157,-134179841641,60688820373.7,26308935684.5,-0.911137457732,0.412102575966,0.178648690072,147266294588,0,0,0,-24.3369839427,0,0,10.1289615587
